clean_text,label,Probability Positive,Prediction,Correct,Confidence,Review Preview,True Sentiment,Predicted Sentiment
"this is a pretty simplistic romance. girl finds boy, girl loves boy, girl loses boy, girl finds boy. colleen moore is the outstanding ingredient in this recipe, delivering a wonderfully varied dramatic/romantic performance, well deserving of an oscar nom. equally fine are the aerial combat special effects. moore plays a french girl whose mother has turned over their field to a british aerial squadron during wwi. she is the ""daughter of the regiment"", loved as a little sister. into this mix comes a fill-in for a downed flyer, gary cooper. at first they hate each other, then they love each other, then the entire squadron is sent out on a suicide mission. cooper returns but crashes in the village and a red cross unit removes him. moore searches for him, is told at a hospital he is dead, then wanders the streets until he calls from a hospital window and they are reunited. it's a nice little romance, but hardly more than that. recommended for fans of ms. moore and mr. cooper",0,0.8322289969685884,1,False,0.8322289969685884,"this is a pretty simplistic romance. girl finds boy, girl loves boy, girl loses boy, girl finds boy. colleen moore is the outstanding ingredient in this recipe, delivering a wonderfully varied dramatic/romantic performance, well deserving of an oscar nom. equa...",Negative,Positive
"franco zeffirelli's (""the taming of the shrew,"" ""romeo and juliet,"" ""jesus of nazareth,"" ""othello"") third stab at transferring shakespeare to the screen works very well, with the casting of mel gibson (""mad max,"" ""lethal weapon"" and pre-""the passion of the christ"" notoriety) in the role formerly owned by sir laurence olivier (and rightly so; see my review on his ""hamlet,"" arguably the best interpretation of one of the bard's timeless (and most quoted) tragedies) and redone 5 years later by kenneth branagh as a full-bloodied treatment, explaining its 3 hour 22 minute running time, combined with a dream cast (and a lot of little additions, which were well-chosen and expertly done by the contemporary master of william shakespeare, kenneth branagh, the director of ""henry v"" and ""dead again."" joining the ""lethal weapon"" star are glenn close (""the big chill""), paul scofield (""a man for all seasons""), alan bates, ian holm, michael maloney (who would be cast as roderigo opposite kenneth branagh and laurence fishburne in oliver parker's ""othello"" (see my review of olivier's ""stage"" version of the tragedy, though he only starred in it) and who branagh would cast as laertes in his 3-hour version of ""hamlet"" (a proper homage to sir laurence olivier and his classic version of the play; see my review on that one as well) 5 years later), nathaniel parker (who would be cast as cassio in his brother's version of ""othello"" 4 years later) and helena bonham-carter, who would be cast in ""mary shelley's frankenstein"" 4 years later. zeffirelli intended this movie as a homage to sir laurence olivier (who had died 2 years prior to this movie) and it works pretty well, for the most part. what i was slightly uncomfortable with was zeffirelli's misplacing a lot of lines and in one scene, he gives one of hamlet's lines to the ghost. also, helena bonham-carter did not convince me as ophelia. she was too dull and unreal, whereas jean simmons (who had immortalized the role in olivier's version) and kate winslet (who did an acceptable job in kenneth branagh's uncut, epic revisionist reworking of ""hamlet"") were good in the role, with jean simmons being the best ophelia ever, that's why she was nominated for best actress in 1948 (she didn't win-what a shame). ian holm said his lines too quickly, not slowly as i expected him to, in a scene with him, laertes and ophelia. but then again, i'm more used to felix aylmer and richard briers' interpretations of the role and i think that they did better jobs than holm in their respective versions of ""hamlet"" (both done by great directors, actors, text-editors, producers and stars of all their versions of the bard's work) as polonius. the rest of the cast, however, was excellent. the scene where hamlet confronts his mother was very well done, but olivier and branagh heightened the scene to better lengths to create even more emotional intensity and suspense that the scene required. i recommend this version just to pass the time, but it's ideal as a teaching tool for 12th-grade english teachers (i recommend showing olivier's version first, then branagh's and finally this version). despite the film's ""pg"" rating, there was really nothing objectionable in the movie. only what the play called for. the best versions of ""hamlet"" are: #1 sir laurence olivier and kenneth branagh. both were so good that i can't decide which one was the best. see my reviews on these versions for more information. #2 franco zeffirelli. this one was alright. it started out alright with a scene not in the play, but should've then progressed to the actual beginning of the play, where a guard cries out ""who's there?"" ""nay, answer me. stand and unfold yourself!!"" that scene scares the hell out of you because you're sitting quietly and then-bam!!, you almost jump out of your skin. in short, that scene sets the tone for the rest of the play. huge blunder on zeffirelli's part to omit that scene. it also misplaced a lot of lines (and cut others that i think should've been put in), such as the line where hamlet says to ophelia ""get thee to a nunnery, why wouldst thou be a breeder of sinners?""; that line was supposed to have occurred in that scene, not where it was placed in the film (after the ""to be or not to be"" soliloquy. this version struggles between cutting out too much or too little from an excellent piece of literature. kenneth branagh would remedy that 5 years later with his uncut version of the tragedy, making his version a more fitting homage to sir laurence olivier, as several of the actors (aside from him) had performed ""hamlet"" on stage/or on film many times on different occasions. however, zeffirelli's take on ""hamlet"" is faithful to the play and that's what i was looking for. the setup for the final act duel was the same as in olivier and branagh's versions, only that the denouement in branagh's version was more violent than the denouement of the previous two faithful versions (more in line with the play; olivier toned it down...and it worked equally well) and stuck more closely to the play, with branagh throwing in a few harmless touches of his own...to very good effect. this version is not rated.",0,0.8249207723396915,1,False,0.8249207723396915,"franco zeffirelli's (""the taming of the shrew,"" ""romeo and juliet,"" ""jesus of nazareth,"" ""othello"") third stab at transferring shakespeare to the screen works very well, with the casting of mel gibson (""mad max,"" ""lethal weapon"" and pre-""the passion of the chr...",Negative,Positive
"pluses: mary boland is delightfully on edge as always (i never tire of her upper-crust zaniness, especially in ""the women"" and ""pride and prejudice""). w.c. fields's brief role is fun, though the famous pool table scene stretches its welcome a bit because it seems to go on for ten minutes. the madcap antics of the film, typical of the period, are great. also, a nod to alison skipworth's wonderfully grounded hotel mistress; i would love to see more of her (she reminds me of marie dressler, another personality worthy of high praise). minuses: gracie allen. an irritating, unfunny presence whose annoyance went unmatched until the rise of adam sandler. that near-falsetto nasalness tinged with an accent of unknown origin gets old in her very first scene. this is the first of the burns-allen films i have seen and while i (as a big classic comedy buff) try to experience at least one film with every major comedy star, this is definitely one team i will not be calling upon again. her timing and interpretation of the material is totally off. a maddeningly mediocre talent. the bottom line: an ok comedy, but the gags are few and far between. and at only an hour long, you can expect that this is not an a grade hollywood comedy. recommended only for boland and fields fans who want to see all of their work.",0,0.7607899469450988,1,False,0.7607899469450988,"pluses: mary boland is delightfully on edge as always (i never tire of her upper-crust zaniness, especially in ""the women"" and ""pride and prejudice""). w.c. fields's brief role is fun, though the famous pool table scene stretches its welcome a bit because it se...",Negative,Positive
"the series does not start as it means to go on. although it's first two seasons are crammed with incredibly average episodes, as well as numerous duds, afterwards the pace picks up and one of the finest space operas is born. the first ever episode of star trek: the next generation is remarkable for two things: it's hugely enjoyable introductions to all of the main cast, and marina sirtis' peculiar accent which would later disappear. seeing how it all began is very satisfying, and viewed in mind of the rest of the series, rather moving actually. otherwise it is a very mediocre episode featuring q, and some giant jellyfish. that's right.",0,0.7419044737286039,1,False,0.7419044737286039,"the series does not start as it means to go on. although it's first two seasons are crammed with incredibly average episodes, as well as numerous duds, afterwards the pace picks up and one of the finest space operas is born. the first ever episode of star trek...",Negative,Positive
"anthony perkins and sophia loren are absolutely gorgeous in this ca. 1840 ""western"". that alone, however doesn't help a ridiculous story, with countless historically incorrect elements. byrl ives is convincing as the 70-something tyrannical patriarch, an egomaniac who swears to see his 100th birthday. his wild dancing at a party he gives for his neighbors will make anyone take notice (this guy is sevety six?). always mumbling bible verses, he demands respect, while driving sons and friends away with his self-righteous rantings and emotional cruelties. the love affair between perkins and loren at first appears absurd, but becomes believable near the end. there is plenty of drama, but not enough to feel good about. clearly written for the stage, this story was dated even when it was filmed. perkins whistles ""my bonnie"" in the 1840s, although the song wasn't composed until 1882. critics knocking sophia lorens ""command of the english language"" are rather petty. i found her english flawless and completely audible. as a neapolitan, loren speaks a distinct dialect that often had to be dubbed into ""proper italian"". her ""accent"", however, hardly affects how she speaks english. as a first generation german american, i can appreciate the efforts of those who learn english as a second, or even third or fourth language. ""desire under the elms"" is a drama (or even a tragedy) in the classic sense. for my enjoyment is was missing a logical story and an overall ""pay off"" for the time invested. fans of the stars won't want to miss it, others, however, tune in at your own risk!",0,0.7315460421210062,1,False,0.7315460421210062,"anthony perkins and sophia loren are absolutely gorgeous in this ca. 1840 ""western"". that alone, however doesn't help a ridiculous story, with countless historically incorrect elements. byrl ives is convincing as the 70-something tyrannical patriarch, an egoma...",Negative,Positive
"the definition of a vampire is an inhumane corpse supposed to leave its grave at night to drink the blood of the living. bakjwi nearly nails this concept on the head minus the cliché of pointy fangs and neck biting. being an r rated movie, i knew this was actually going to pertain to vampires actually being vampires. which means that the characters in the movie are going to do what vampires actually do without restraint and rightfully lack any glamorous moments in comparison to twilight. having viewed chan-wook park's preceding oldboy, i had very high expectations of bakjwi. i anticipated some awkward plot sequences with our anti-hero, known as priest sang-hyeon, and was very impressed by his performance as a holy-man who is forced into this quandary of being humane and obeying his thirst as a vampire. (spoiler) after the initial premise of him surviving the defective blood transfusion, he starts to crave blood and discovers his super strength and his flying ability. the screen shots do his transition phase without overbearing on exposition. he starts drinking the blood of the dying and those who wish to be euthanized for moral reasons. the oft tragic and dysfunctional love affair the priest has with the manipulative tae-joo is very riveting as they are played by the host's kanh-ho song and actress ok-vin kim. the special effects are properly placed in the backdrop and while it doesn't offer anything new in the ways of stunts and cgi, it didn't impose itself into the plot driven and character developed premise. the story and the pivotal plot points are very perverse and grotesque yet very original in its own korean style. there aren't many negatives i can say about bakjwi. sometimes i ask myself if the priests transition phase could have showed more of the priest having an emotional crisis with his transformation, but then again this would have made the movie 3 hours long. the movie was long to begin with. on the same token, vampires really don't have much in the way of expressing emotions to begin with. as mentioned before, this movie is very tragic, so don't expect anything hopeful while watching this. overall, bakjwi is delightfully dark, morbid and original. i strongly recommend this movie for serious viewers who are past the teenage phase of twilight. this is definitely the korean answer to the swedish let the right one in, which is also a good movie.",1,0.2732419511487513,0,False,0.7267580488512486,"the definition of a vampire is an inhumane corpse supposed to leave its grave at night to drink the blood of the living. bakjwi nearly nails this concept on the head minus the cliché of pointy fangs and neck biting. being an r rated movie, i knew this was actu...",Positive,Negative
"set in the mid 1800's when the british is clearing new zealand outback wilderness to establish colonies. the daughter of a british army surgeon, sarah(samantha morton), falls in love with the son of one of the maori leaders. the maori is an indigenous tribe and a dangerous people for the europeans to deal with. by the time sarah's child, which she calls ""boy"", is born, his father is dead. by the age of six, ""boy"" is kidnapped by his father's family and sarah will begin her search for him with a man(kiefer sutherland),who is deeply in love with her. two-time oscar nominee morton is definitely the star of this movie. sutherland is a total waste. also starring are: cliff curtis, stephen rea, temuera morrison and david rawiri pene. this movie is rated r for some sexual content and violent battle scenes. i find the title river queen very misleading and the dvd cover with sutherland only and making you believe he is the leading star should be a crime.",0,0.7211917823046364,1,False,0.7211917823046364,"set in the mid 1800's when the british is clearing new zealand outback wilderness to establish colonies. the daughter of a british army surgeon, sarah(samantha morton), falls in love with the son of one of the maori leaders. the maori is an indigenous tribe an...",Negative,Positive
"little quentin seems to have mastered the art of having the cake and eating it. as usual, the pure sadistic display can be explained as a clever thought-provoking way of sending violence back into the audience's face. sure, mr tarantino. violence is baaad. sadism is baaad. it is well worth wading in it to make that point. how very brilliant. the juvenile part of the audience may well not be clever enough to follow all the smart references to higher levels of consciousness though, but i'm confident they'll see the light one day. thanks for making this little world of ours a little better. you deserve a medal.",0,0.7180037616064924,1,False,0.7180037616064924,"little quentin seems to have mastered the art of having the cake and eating it. as usual, the pure sadistic display can be explained as a clever thought-provoking way of sending violence back into the audience's face. sure, mr tarantino. violence is baaad. sad...",Negative,Positive
well don't expect anything deep an meaningful. most of the fight scenes are pretty decent. the two leading ladies are quite endearing but their lack of hk action background shows at times. the ending maybe lacks something but i quite enjoyed it none the less. the cheesy humour isn't probably going to appeal to anyone who hasn't watched a bunch of hk films but if your down with that sort of thing and have a couple of hours to fill with something meaningless you could do a lot worse than this. (ok so you could do better but.......) certainly on a par with most of the hollywood blockbuster action drivel. 7/10,1,0.3072233317278476,0,False,0.6927766682721523,well don't expect anything deep an meaningful. most of the fight scenes are pretty decent. the two leading ladies are quite endearing but their lack of hk action background shows at times. the ending maybe lacks something but i quite enjoyed it none the less. ...,Positive,Negative
"lucille ball was a mighty power in television throughout the 1950s and 1960s, but she still made an occasional film, most notably the long, long trailer and the facts of life. although her television career remained strong, as the 1970s began her movie career seemed to be winding down--but ball was determined to have one last big screen fling, and the project she selected was the 1966 musical mame. in many respects the role seemed tailor-made: based on the popular novel which gave rise to two different broadway plays, mame dennis is a wacky, wildly uninhibited woman who ""inherits"" her orphaned nephew patrick--and leads him on a wild tour of life's possibilities, bouncing from one comic spree to another. the music, which featured such songs as ""open a new window"" and ""if he walked into my life today,"" was among jerry herman's best work. the supporting cast, which included robert preston and bea arthur, was the best of the best. expectations were high; opening night fanfare was tremendous; the film was a disaster. critics were aghast and audiences sat slack-jawed. no matter what hardcore lucy fans may say, mame is a fiasco, so much so that it is hard to know where to start. it is badly directed, badly filmed, badly performed, and there lucille ball is at the center of it all, unable to dance, unable to sing, and grinning like a waxworks dummy while incredibly bad choreography swirls around her. but the disaster is hardly of her making alone; the supporting cast fares no better. bea arthur and jane connell recreate their stage roles of vera charles and agnes gooch; the former is stagey, the latter is dismal. robert preston manages to sing with a smile, but he's pretty much on his own and clearly none too happy about it. the dvd brings the film from the vhs pan-and-scan release to widescreen, but that only means there's more awfulness to see. everybody loves lucy, but only the least critical fan could love lucy's mame; while i wouldn't say it's bad enough to make you want to gouge your eyes out, you may wish you had. not recommended. gft, amazon reviewer",0,0.6782889155523526,1,False,0.6782889155523526,"lucille ball was a mighty power in television throughout the 1950s and 1960s, but she still made an occasional film, most notably the long, long trailer and the facts of life. although her television career remained strong, as the 1970s began her movie career ...",Negative,Positive
