text,minimal_text,classical_text,label,sentiment
"This light hearted comedy should be enjoyed for entertainment value. It gets quite hysterically funny at times, but if you haven't spent any time on 'that' side of the tracks you will miss the comedy when it erupts.<br /><br />The cast of characters meld well together and are quite believable in their roles. How Grace handles meeting her dead husbands girlfriend was well played. She's a true lady. And, my favorite is Grace's white pimp suit that she wears.<br /><br />I highly recommend this flick to anyone who wants to laugh out loud, who cheers for the underdog or just wishes to watch something different.","this light hearted comedy should be enjoyed for entertainment value. it gets quite hysterically funny at times, but if you haven't spent any time on 'that' side of the tracks you will miss the comedy when it erupts. the cast of characters meld well together and are quite believable in their roles. how grace handles meeting her dead husbands girlfriend was well played. she's a true lady. and, my favorite is grace's white pimp suit that she wears. i highly recommend this flick to anyone who wants to laugh out loud, who cheers for the underdog or just wishes to watch something different.",light hearted comedy enjoy entertainment value get quite hysterically funny time not spent time side track miss comedy erupts cast character meld well together quite believable role grace handle meet dead husband girlfriend well play true lady favorite grace white pimp suit wear highly recommend flick anyone want laugh loud cheer underdog wish watch something different,1,Positive
"""Fear of a Black Hat"" is a superbly crafted film. I was laughing almost continuously from start to finish. If you have the means, I highly recommend viewing this movie It is, by far, the funniest movie I have had the pleasure to experience. Grab your stuff!","""fear of a black hat"" is a superbly crafted film. i was laughing almost continuously from start to finish. if you have the means, i highly recommend viewing this movie it is, by far, the funniest movie i have had the pleasure to experience. grab your stuff!",fear black hat superbly craft film laugh almost continuously start finish mean highly recommend view movie far funny movie pleasure experience grab stuff,1,Positive
"The scintillating Elizabeth Taylor stars in this lesser-known classic as a young girl from London who falls in love with a tea plantation owner from British Ceylon (current day Sri Lanka). Upon arrival she instantly feels out of place and is forced to adapt to the new culture as well as be in constant awareness of the angry elephant herd. William Dieterle, who also directed The Life Of Emile Zola and Portrait Of Jennie , does a masterful job of bringing a somewhat dark, and almost eerie, undertone to this romance and the setting is one of the most beautiful I've seen with the black and white themed mansion and the gorgeous island scenery.","the scintillating elizabeth taylor stars in this lesser-known classic as a young girl from london who falls in love with a tea plantation owner from british ceylon (current day sri lanka). upon arrival she instantly feels out of place and is forced to adapt to the new culture as well as be in constant awareness of the angry elephant herd. william dieterle, who also directed the life of emile zola and portrait of jennie , does a masterful job of bringing a somewhat dark, and almost eerie, undertone to this romance and the setting is one of the most beautiful i've seen with the black and white themed mansion and the gorgeous island scenery.",scintillate elizabeth taylor star lesser know classic young girl london fall love tea plantation owner british ceylon current day sri lanka upon arrival instantly feels place force adapt new culture well constant awareness angry elephant herd william dieterle also direct life emile zola portrait jennie masterful job bring somewhat dark almost eerie undertone romance set one beautiful see black white theme mansion gorgeous island scenery,1,Positive
"There have been many movies featuring Bigfoot, the majority of which are not good but most at least have a goofy charm to them. Sasquatch Hunters doesn't even have that going for it. It's just a crashing bore.<br /><br />Sasquatch Hunters is about a group of paleontologists, primatologists, and forest rangers that venture off into a remote part of a Pacific Northwest forest. Bones belonging to some sort of abnormally large primate have been discovered in this region and since apes aren't natural to North America to begin with this leads to a scientific expedition. Sure enough, they soon discover a whole burial ground full of the skeletal remains of these enormous ape-like creatures. I think we all know what happens to people that disturb ancient burial grounds in the movies.<br /><br />The first half of the movie consists of uninteresting, interchangeable characters assembling their gear, hiking through the woods, stopping to rest, hiking through the woods some more, pausing long enough to investigate and discuss a few findings along the way, yet more hiking through the woods, looking for a group member that has vanished, even more hiking through the woods, digging through dirt, random theorizing, and gathering around a campfire to discuss what little they've done that day. When Sasquatch finally shows up it just turns into people stumbling around in the dark while being picked off one at a time (done in a blink and you missed it fashion and the actual killing occurs off-camera). All of this is excruciatingly boring.<br /><br />The movie wants to be taken seriously and the director is clearly trying to build suspense but there is none to be found, thus we are left with dull, drawn out scenes of people wandering around the woods just to get somewhere and wander around the woods at night trying to act scared. I'd be lying if I said I didn't make liberal use of the fast forward button to speed these scenes up.<br /><br />As for Sasquatch himself, much like every other character else in the movie, it doesn't have much to do and lacks a distinct personality. It looks like a shaggier version of King Kong, which isn't all that bad except in the scenes where they used CGI instead of a man in a Bigfoot costume, which is painfully obvious during the daylight monster scenes. A part of me can't help but feel that even using computer effects to bring Bigfoot to life is a tad sacrilegious. If there is any single movie monster that I believe should only be brought to life through situation, it's Bigfoot.<br /><br />This is one of those movies that doesn't so much have a plot as it does a premise. That's all it really is, a premise, which the people involved stretched out to make a feature length motion picture without bothering to add all the ingredients to make a worthwhile movie.","there have been many movies featuring bigfoot, the majority of which are not good but most at least have a goofy charm to them. sasquatch hunters doesn't even have that going for it. it's just a crashing bore. sasquatch hunters is about a group of paleontologists, primatologists, and forest rangers that venture off into a remote part of a pacific northwest forest. bones belonging to some sort of abnormally large primate have been discovered in this region and since apes aren't natural to north america to begin with this leads to a scientific expedition. sure enough, they soon discover a whole burial ground full of the skeletal remains of these enormous ape-like creatures. i think we all know what happens to people that disturb ancient burial grounds in the movies. the first half of the movie consists of uninteresting, interchangeable characters assembling their gear, hiking through the woods, stopping to rest, hiking through the woods some more, pausing long enough to investigate and discuss a few findings along the way, yet more hiking through the woods, looking for a group member that has vanished, even more hiking through the woods, digging through dirt, random theorizing, and gathering around a campfire to discuss what little they've done that day. when sasquatch finally shows up it just turns into people stumbling around in the dark while being picked off one at a time (done in a blink and you missed it fashion and the actual killing occurs off-camera). all of this is excruciatingly boring. the movie wants to be taken seriously and the director is clearly trying to build suspense but there is none to be found, thus we are left with dull, drawn out scenes of people wandering around the woods just to get somewhere and wander around the woods at night trying to act scared. i'd be lying if i said i didn't make liberal use of the fast forward button to speed these scenes up. as for sasquatch himself, much like every other character else in the movie, it doesn't have much to do and lacks a distinct personality. it looks like a shaggier version of king kong, which isn't all that bad except in the scenes where they used cgi instead of a man in a bigfoot costume, which is painfully obvious during the daylight monster scenes. a part of me can't help but feel that even using computer effects to bring bigfoot to life is a tad sacrilegious. if there is any single movie monster that i believe should only be brought to life through situation, it's bigfoot. this is one of those movies that doesn't so much have a plot as it does a premise. that's all it really is, a premise, which the people involved stretched out to make a feature length motion picture without bothering to add all the ingredients to make a worthwhile movie.",many movie feature bigfoot majority not good least goofy charm sasquatch hunter not even go crash bore sasquatch hunter group paleontologists primatologists forest ranger venture remote part pacific northwest forest bone belong sort abnormally large primate discover region since ape not natural north america begin lead scientific expedition sure enough soon discover whole burial ground full skeletal remain enormous ape like creature think know happen people disturb ancient burial ground movie first half movie consist uninteresting interchangeable character assemble gear hike wood stop rest hike wood pause long enough investigate discus finding along way yet hike wood look group member vanish even hike wood dig dirt random theorize gather around campfire discus little do day sasquatch finally show turn people stumble around dark pick one time do blink miss fashion actual killing occur camera excruciatingly boring movie want take seriously director clearly try build suspense none find thus leave dull drawn scene people wander around wood get somewhere wander around wood night try act scar lie say not make liberal use fast forward button speed scene sasquatch much like every character else movie not much lack distinct personality look like shaggy version king kong not bad except scene use cgi instead man bigfoot costume painfully obvious daylight monster scene part not help feel even use computer effect bring bigfoot life tad sacrilegious single movie monster believe bring life situation bigfoot one movie not much plot premise really premise people involve stretched make feature length motion picture without bother add ingredient make worthwhile movie,0,Negative
"Why such a generic title? Santa Claus??? So bland and unpredictable. Movies before that tried to cash in on the holiday spirit, most notably 'Santa Claus Conquers the Martians', at least was entertaining to watch because of the campiness to it, and all the stock footage being used... for some reason, that seemed happy to me. But this movie just screws Christmas in the butt, and screws the joy of all the kids. Santa lives in space? His enemy is a devil named Pitch? Santa gets help from Merlin the Magician? How random is this!? Well, since it was made in Mexico then some of you might understand the way of how the film was made. I had to admit some of the effects were just wacky for the time. It was a all-out cluster of madness! Though, despite all the troubles with the movie, it still feels like a Christmas movie. Good conquers evil, and Christmas still plays a part of our hearts of every good girl or boy in the world, or possibly universe, thanks to Santa Claus Conquers the Martians.. apparently. So, I think you should give it a try, even if it is one of the worst holiday movies of all time... though it should put a smile on your face any day.","why such a generic title? santa claus??? so bland and unpredictable. movies before that tried to cash in on the holiday spirit, most notably 'santa claus conquers the martians', at least was entertaining to watch because of the campiness to it, and all the stock footage being used... for some reason, that seemed happy to me. but this movie just screws christmas in the butt, and screws the joy of all the kids. santa lives in space? his enemy is a devil named pitch? santa gets help from merlin the magician? how random is this!? well, since it was made in mexico then some of you might understand the way of how the film was made. i had to admit some of the effects were just wacky for the time. it was a all-out cluster of madness! though, despite all the troubles with the movie, it still feels like a christmas movie. good conquers evil, and christmas still plays a part of our hearts of every good girl or boy in the world, or possibly universe, thanks to santa claus conquers the martians.. apparently. so, i think you should give it a try, even if it is one of the worst holiday movies of all time... though it should put a smile on your face any day.",generic title santa claus bland unpredictable movie try cash holiday spirit notably santa claus conquers martian least entertaining watch campiness stock footage use reason seem happy movie screw christmas butt screw joy kid santa live space enemy devil name pitch santa get help merlin magician random well since make mexico might understand way film make admit effect wacky time cluster madness though despite trouble movie still feel like christmas movie good conquers evil christmas still play part heart every good girl boy world possibly universe thanks santa claus conquers martian apparently think give try even one bad holiday movie time though put smile face day,0,Negative
"This movie is just great. It's entertaining from beginning to the end, you're always gonna be at the edge of your seat throughout the entire movie. In my opinion this movie is highly underrated by the critics.<br /><br />Sly suits perfectly into the role of the well trained mountain-rescue guy Gabe Walker. Together with him Michael Rooker makes a great appearance as Hal Tucker. And then, John Lithgow, one of the best performances I've seen of him as a villain.<br /><br />And the fact that 75% of the movie takes place at a mountain with a whole lot of bad guys on it makes way for a lot of action! <br /><br />Brilliant movie!","this movie is just great. it's entertaining from beginning to the end, you're always gonna be at the edge of your seat throughout the entire movie. in my opinion this movie is highly underrated by the critics. sly suits perfectly into the role of the well trained mountain-rescue guy gabe walker. together with him michael rooker makes a great appearance as hal tucker. and then, john lithgow, one of the best performances i've seen of him as a villain. and the fact that 75% of the movie takes place at a mountain with a whole lot of bad guys on it makes way for a lot of action! brilliant movie!",movie great entertain begin end always gon na edge seat throughout entire movie opinion movie highly underrated critic sly suit perfectly role well trained mountain rescue guy gabe walker together michael rooker make great appearance hal tucker john lithgow one best performance see villain fact movie take place mountain whole lot bad guy make way lot action brilliant movie,1,Positive
"THHE remake was a superior movie remake in every way. Most remakes end up being total garbage but under the very talented direction of Alexandre Aja became one of the best ever made in terms of remakes and also as far as the mutant inbreed human sub-genre of horror is concerned. In steps part 2 directed by another individual Martin Weisz and written by the father and son combo of Jonathan and Wes ""I cannot make a good horror movie to save my life anymore"" Craven and if this is any indication of Weisz directing skills and young Craven's writing skills we are all in for a painful future as THHE 2 not only fails to be as good as the first but also fails to entertain on ANY level.<br /><br />We start off with a fairly graphic mutant baby birth which though is rather cool will not prepare you for the utter garbage that is to come, only hint to what could have been in this film. We then get to see a crew of scientists who all to briefly are introduced and dispatched by our radiated rejects. In steps our main cast of army reservist to save the day, this is where the major problems begin.<br /><br />From very sub par acting (yes even for this kind of movie) to the horrible characters to the lack of true carnage for most of its running time THHE 2 becomes a labor to watch as a lot of nothing happens as idiotic soldiers make mistake after mistake only to meet there demise not by the mutants but themselves. Think the Marines in Aliens only the exact opposite and you have the idea of how well these soldiers are trained. This is the true shame of the film as most of the Hills occupants do not get the kills you would like to see, like in the first film, in fact if this did not have THHE 2 attachment in the beginning and the brief overview in the beginning tying this loosely to the first this could have nearly been a Sci-Fi Channel original.<br /><br />The Mutant Mountainbillies as well are not as amusing this time around in fact in a lot of way they are far inferior to our prior batch as they all come off as being rather under designed and uninteresting. Also the one that took the cake was the Sloth-like Mutant (you know Sloth from the Goonies) who helps them out in the 3rd act. I was waiting for him to ask for a Baby Ruth or start going on about Rocky Road Ice Cream. Truly disappointing and shameful is the only way to describe most of the goings on here.<br /><br />The gore is in the film but not nearly as visceral as the original in fact it seemed toned down for the most part as other than the mutant baby birth scene there really isn't anything that stood out like in the first. Another major strike against this movie. So what did work here, the answer is nothing at all. This felt like a sequel designed specifically to make money off the success of the first and not to make an actually ""good"" film.<br /><br />I can go on about the crappy Drill SGT., the radio man that has a speech impediment (that's right, he is the kind of guy I want radioing in for help in a real crisis) or the pacifist fighter that resembles the exact same character mold as our ""hero"" in the first film but I believe you get the point. This movie is not even in the same league or even the same planet as the first. It should have been given another title and been added to the Saturday Night Line up on The Sci-Fi Channel. A true shame as a solid sequel could have been made but alas it looks like another horror movie that drops the ball on nearly every level and will get one of my lowest scores as I give THHE 2 the same score as its part: 2/10 Dreadful: Words cannot describe how bad this movie is a total polar opposite of its predecessor in every way, uninspired and down-right unnecessary. Next time guys if your going to make a sequel this bad...don't even bother. Please don't go support this garbage at the theaters, save your money and thank me later!!!!","thhe remake was a superior movie remake in every way. most remakes end up being total garbage but under the very talented direction of alexandre aja became one of the best ever made in terms of remakes and also as far as the mutant inbreed human sub-genre of horror is concerned. in steps part 2 directed by another individual martin weisz and written by the father and son combo of jonathan and wes ""i cannot make a good horror movie to save my life anymore"" craven and if this is any indication of weisz directing skills and young craven's writing skills we are all in for a painful future as thhe 2 not only fails to be as good as the first but also fails to entertain on any level. we start off with a fairly graphic mutant baby birth which though is rather cool will not prepare you for the utter garbage that is to come, only hint to what could have been in this film. we then get to see a crew of scientists who all to briefly are introduced and dispatched by our radiated rejects. in steps our main cast of army reservist to save the day, this is where the major problems begin. from very sub par acting (yes even for this kind of movie) to the horrible characters to the lack of true carnage for most of its running time thhe 2 becomes a labor to watch as a lot of nothing happens as idiotic soldiers make mistake after mistake only to meet there demise not by the mutants but themselves. think the marines in aliens only the exact opposite and you have the idea of how well these soldiers are trained. this is the true shame of the film as most of the hills occupants do not get the kills you would like to see, like in the first film, in fact if this did not have thhe 2 attachment in the beginning and the brief overview in the beginning tying this loosely to the first this could have nearly been a sci-fi channel original. the mutant mountainbillies as well are not as amusing this time around in fact in a lot of way they are far inferior to our prior batch as they all come off as being rather under designed and uninteresting. also the one that took the cake was the sloth-like mutant (you know sloth from the goonies) who helps them out in the 3rd act. i was waiting for him to ask for a baby ruth or start going on about rocky road ice cream. truly disappointing and shameful is the only way to describe most of the goings on here. the gore is in the film but not nearly as visceral as the original in fact it seemed toned down for the most part as other than the mutant baby birth scene there really isn't anything that stood out like in the first. another major strike against this movie. so what did work here, the answer is nothing at all. this felt like a sequel designed specifically to make money off the success of the first and not to make an actually ""good"" film. i can go on about the crappy drill sgt., the radio man that has a speech impediment (that's right, he is the kind of guy i want radioing in for help in a real crisis) or the pacifist fighter that resembles the exact same character mold as our ""hero"" in the first film but i believe you get the point. this movie is not even in the same league or even the same planet as the first. it should have been given another title and been added to the saturday night line up on the sci-fi channel. a true shame as a solid sequel could have been made but alas it looks like another horror movie that drops the ball on nearly every level and will get one of my lowest scores as i give thhe 2 the same score as its part: 2/10 dreadful: words cannot describe how bad this movie is a total polar opposite of its predecessor in every way, uninspired and down-right unnecessary. next time guys if your going to make a sequel this bad...don't even bother. please don't go support this garbage at the theaters, save your money and thank me later!!!!",thhe remake superior movie remake every way remake end total garbage talented direction alexandre aja become one best ever make term remake also far mutant inbreed human sub genre horror concern step part direct another individual martin weisz write father son combo jonathan wes not make good horror movie save life anymore craven indication weisz direct skill young craven write skill painful future thhe not fails good first also fail entertain level start fairly graphic mutant baby birth though rather cool not prepare utter garbage come hint could film get see crew scientist briefly introduce dispatched radiate reject step main cast army reservist save day major problem begin sub par act yes even kind movie horrible character lack true carnage run time thhe become labor watch lot nothing happen idiotic soldier make mistake mistake meet demise not mutant think marine alien exact opposite idea well soldier train true shame film hill occupants not get kill would like see like first film fact not thhe attachment begin brief overview begin tie loosely first could nearly sci fi channel original mutant mountainbillies well not amuse time around fact lot way far inferior prior batch come rather design uninteresting also one take cake sloth like mutant know sloth goony help rd act wait ask baby ruth start go rocky road ice cream truly disappointing shameful way describe going gore film not nearly visceral original fact seem toned part mutant baby birth scene really not anything stand like first another major strike movie work answer nothing felt like sequel design specifically make money success first not make actually good film go crappy drill sgt radio man speech impediment right kind guy want radio help real crisis pacifist fighter resembles exact character mold hero first film believe get point movie not even league even planet first give another title add saturday night line sci fi channel true shame solid sequel could make alas look like another horror movie drop ball nearly every level get one low score give thhe score part dreadful word not describe bad movie total polar opposite predecessor every way uninspired right unnecessary next time guy go make sequel bad not even bother please not go support garbage theater save money thank later,0,Negative
"Ok first of all, this movie sucks. But lets examine why. The proposition that a machine is capable of transforming matter into energy, storing it, and then transporting it and reasembling it is at the least intriguing. But that's as far as they take this premise. Instead of delving into what could happen if someone made this kind of machine, they break the damn thing. This could have been a good premise. Living with the responsibilty of this kind of power, and dealing with the constant temptation, ie.. the invisible man. But no.. they break the damn thing. And Lembach wants to leave. So then the doctor jerry-rigs the thing back together, and trys to transport himself. Only to have it goofed up by his beautiful but dumb secretary, (duh). Which wouldn't happened if Lembach hadn't decided to leave. So now he is roaming the country side killing people because his little experiment failed, and they wouldn't give him money. Wah. Then to make the movie worse, throw in a dry British relationship between the two semi-competent professors hired to assist him. Between their loving sessions, they make a couple of half-hearted attempts to find him while he kills off half of London. All of this could have been headed off by not breaking the damn machine, which would never have happened if Lembach hadn't left. This movie tried so I give it an honest 2 stars for effort, but it would have been better if they hadn't broke the damn machine, making Lembach leave, making him try it again. Damn you Lembach!!!!!!!!!!!!!!!!","ok first of all, this movie sucks. but lets examine why. the proposition that a machine is capable of transforming matter into energy, storing it, and then transporting it and reasembling it is at the least intriguing. but that's as far as they take this premise. instead of delving into what could happen if someone made this kind of machine, they break the damn thing. this could have been a good premise. living with the responsibilty of this kind of power, and dealing with the constant temptation, ie.. the invisible man. but no.. they break the damn thing. and lembach wants to leave. so then the doctor jerry-rigs the thing back together, and trys to transport himself. only to have it goofed up by his beautiful but dumb secretary, (duh). which wouldn't happened if lembach hadn't decided to leave. so now he is roaming the country side killing people because his little experiment failed, and they wouldn't give him money. wah. then to make the movie worse, throw in a dry british relationship between the two semi-competent professors hired to assist him. between their loving sessions, they make a couple of half-hearted attempts to find him while he kills off half of london. all of this could have been headed off by not breaking the damn machine, which would never have happened if lembach hadn't left. this movie tried so i give it an honest 2 stars for effort, but it would have been better if they hadn't broke the damn machine, making lembach leave, making him try it again. damn you lembach!!!!!!!!!!!!!!!!",ok first movie suck let examine proposition machine capable transform matter energy store transport reasembling least intriguing far take premise instead delve could happen someone make kind machine break damn thing could good premise live responsibilty kind power deal constant temptation ie invisible man no break damn thing lembach want leave doctor jerry rig thing back together try transport goof beautiful dumb secretary duh would not happen lembach not decide leave roaming country side kill people little experiment fail would not give money wah make movie bad throw dry british relationship two semi competent professor hire assist loving session make couple half hearted attempt find kill half london could head not break damn machine would never happen lembach not leave movie try give honest star effort would better not broke damn machine make lembach leave make try damn lembach,0,Negative
"It's the early 80s. There's a group of suspiciously old-looking teens. And there's a maniac stalking around. Yes, this is slasherville.<br /><br />This movie is called Pranks. Why is it called Pranks? I haven't the faintest idea. Unless your idea of a great prank is to repeatedly hit someone's dinner with a baseball bat - on balance, not a great prank; in fact quite a rubbish prank if truth be told. But there you go.<br /><br />The film itself concerns a group of teenagers who are tasked with cleaning out a decommissioned dormitory. They become aware that a psychopath is on the loose. To combat this development, they split up and wander about in the dark. It ends in tears for most of them.<br /><br />Pranks is a badly made slasher movie. The DVD release I viewed was the Vipco one. It appears to be cut of a fair bit of violence. This makes the DVD even more pointless because, let's face it, a slasher movie shorn of violence is a waste of time. For slasher-film and video nasty completists only.","it's the early 80s. there's a group of suspiciously old-looking teens. and there's a maniac stalking around. yes, this is slasherville. this movie is called pranks. why is it called pranks? i haven't the faintest idea. unless your idea of a great prank is to repeatedly hit someone's dinner with a baseball bat - on balance, not a great prank; in fact quite a rubbish prank if truth be told. but there you go. the film itself concerns a group of teenagers who are tasked with cleaning out a decommissioned dormitory. they become aware that a psychopath is on the loose. to combat this development, they split up and wander about in the dark. it ends in tears for most of them. pranks is a badly made slasher movie. the dvd release i viewed was the vipco one. it appears to be cut of a fair bit of violence. this makes the dvd even more pointless because, let's face it, a slasher movie shorn of violence is a waste of time. for slasher-film and video nasty completists only.",early group suspiciously old look teens maniac stalk around yes slasherville movie call prank call prank not faint idea unless idea great prank repeatedly hit someone dinner baseball bat balance not great prank fact quite rubbish prank truth tell go film concern group teenager task cleaning decommissioned dormitory become aware psychopath loose combat development split wander dark end tear prank badly make slasher movie dvd release view vipco one appear cut fair bit violence make dvd even pointless let face slasher movie shorn violence waste time slasher film video nasty completists,0,Negative
Half the reviews were good so i took a chance for $10. Sure Priscilla Barnes had some sex talk but it wasn't much. The whole plot later that she may be the other actress mother & the documentary maker falling for the young woman is stretching it. Its not funny its not that raunchy its not much of anything but a waste of time. Boogie Nights was based on real people that were in the adult industry this is based on nothing that ever happened in the industry. It could have shocked with whats popular today in adult films mocking todays gonzo videos and that big orgy that they had 5 minutes to shoot what a joke a bigger orgy has been done bigger & better decades ago in the early 1970s.,half the reviews were good so i took a chance for $10. sure priscilla barnes had some sex talk but it wasn't much. the whole plot later that she may be the other actress mother & the documentary maker falling for the young woman is stretching it. its not funny its not that raunchy its not much of anything but a waste of time. boogie nights was based on real people that were in the adult industry this is based on nothing that ever happened in the industry. it could have shocked with whats popular today in adult films mocking todays gonzo videos and that big orgy that they had 5 minutes to shoot what a joke a bigger orgy has been done bigger & better decades ago in the early 1970s.,half review good take chance sure priscilla barnes sex talk not much whole plot later may actress mother documentary maker fall young woman stretch not funny not raunchy not much anything waste time boogie night base real people adult industry base nothing ever happen industry could shock whats popular today adult film mock today gonzo videos big orgy minute shoot joke big orgy do big well decade ago early,0,Negative
